Model,Recall,F1-Score,Precision,Accuracy,ROC-AUC
Logistic Regression,0.6977886977886978,0.4995602462620932,0.38904109589041097,0.7155,0.7768754887398955
Random Forest,0.6093366093366094,0.6108374384236454,0.6123456790123457,0.842,0.8473072456123303
XGBoost,0.5626535626535627,0.6066225165562914,0.6580459770114943,0.8515,0.8380213803942619
LightGBM,0.5601965601965602,0.6145552560646901,0.6805970149253732,0.857,0.8573627556678405
Decision Tree,0.5135135135135135,0.47072072072072074,0.43451143451143454,0.765,0.6713832476544341
