Experiment,Recall,Precision,F1,AUC
Raw Data,0.4914004914004914,0.78125,0.6033182503770739,0.8632546259664903
Raw + SMOTE,0.6584766584766585,0.5594989561586639,0.6049661399548533,0.8468036603629824
Feature Engineering,0.47174447174447176,0.7470817120622568,0.5783132530120482,0.8588187571238419
Feature + SMOTE,0.6339066339066339,0.589041095890411,0.6106508875739645,0.8517901568749027
